ID da alteração;Ciclo;Data da recomendação;Data da aprovação;Data da execução;Campanha;Elemento / alvo;Tipo de ação;Estado / valor anterior;Estado / valor aprovado;Motivo / diagnóstico;Fonte da decisão;Confiança;Aprovado?;Executado?;Status;Início da janela pós;Dias desde execução;Resultado pós-alteração;Veredito posterior;Reavaliar em;Observações
EC-005;entre-ciclos;04/09/2026;04/09/2026;04/09/2026;Cupom P2025;P2025 — cupom 12%;CRIAR CUPOM;Sem cupom;Cupom 12% ativo;"Decisão do LEO. SKU fora do pacote 9.9, sem conflito de oferta. Margem 12,8% após o cupom; empilha com a promo de quantidade (5+ → 19% de desconto, margem 7,2%)";docs/PLANO_9-9.md + ciclos/EC-04-09.md + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;05/09/2026;;;;18/09/2026;Atenção ao empilhamento com a promo de quantidade
EC-006;entre-ciclos;04/09/2026;04/09/2026;04/09/2026;Cupom lixeiras de embutir;EMB-05, EMB-05P e EMB-08 — cupom 50%;CRIAR CUPOM;Sem cupom;Cupom 50% ativo, sem teto de unidades;"Decisão da Dianna: LIQUIDAÇÃO DELIBERADA ABAIXO DO CUSTO para liberar espaço físico. Perda conhecida de R$ 53 a R$ 61 por unidade; até R$ 71 no EMB-08 com a promo de quantidade. Sem contagem de estoque — o teto prático é o orçamento do cupom";docs/PLANO_9-9.md + ciclos/EC-04-09.md + Simulador Mestra v4.3.4;ALTA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;05/09/2026;;;;18/09/2026;⚠️ VENDAS COM MARGEM NEGATIVA POR DESENHO — segregar de qualquer média de margem do catálogo e dos rankings de lucro. Linha de base em ciclos/EC-04-09.md
O5-001;O5;08/09/2026;08/09/2026;09/09/2026;Geral DBA-o59/09 (era DBA-o311/08);segmentação substitutes / Substitutos;REDUZIR LANCE;R$ 0,54;R$ 0,45 (−17%);30d (08/08–06/09): 167 cliques, R$ 107,60, 1 compra, ACOS 81% — acima da Emergência. Consumia 39% do gasto da Geral. Vitalício 20,9%. Ação no nível da segmentação, não da campanha;ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;"Conferido no console em 09/09. Não isolável na Era; ler na O6 pelo relatório de Segmentação. Ler junto com O5-002"
O5-002;O5;08/09/2026;08/09/2026;09/09/2026;Geral DBA-o59/09 (era DBA-o311/08);segmentação close-match / Correspondência aproximada;AUMENTAR LANCE;R$ 0,45;R$ 0,54 (+20%);"Melhor eficiência da Geral com o MENOR lance: 30d 24 cliques, 2 compras, ACOS 2,5%; vitalício 128 cliques, 4 compras, 6,9%. Corrige a inversão de funil em que substitutes gastava mais que close";ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;Conferido no console em 09/09. Amostra de 24 cliques em 30d. Ler junto com O5-001
O5-003;O5;08/09/2026;08/09/2026;09/09/2026;Geral DBA-o59/09;orçamento diário;MANTER R$ 90 (régua NÃO aplicada);R$ 90/dia — ACOS 30d 10,5%, régua mandaria +20%;R$ 90/dia;"Gasto da Era R$ 10,55/dia ≈ 12% do orçamento — o orçamento não é a restrição (regra consolidada). O ACOS de 30d é sustentado por 1 pedido halo; sem ele seria 31,4%";ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;ALTA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;O lance padrão do grupo (R$ 0,48) é INERTE — as 4 segmentações têm lance próprio. A escala real da Geral é por segmentação
O5-004;O5;08/09/2026;08/09/2026;09/09/2026;PI L2470-CZ-o425/08;campanha;PAUSAR CAMPANHA;Ativa — radar O4-004, alvos 0,66 / 0,60;Pausada;"Contrato de saída da O4-004 acionado: Era 4 cliques, R$ 2,51, zero venda; vitalício 18 cliques e zero venda em 32 alvos";ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;ALTA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;Conferido no export de 09/09. Sem prorrogação. A família cinzeiro segue coberta pela Geral
O5-005;O5;08/09/2026;08/09/2026;09/09/2026;PI PG3070-o425/08;campanha;PAUSAR CAMPANHA;Ativa — radar O4-005, 57 alvos a 0,66;Pausada;"Contrato de saída da O4-005 acionado: Era 1 clique, R$ 0,99; vitalício 8 cliques e zero venda em 83 alvos. A migração para exatos fica sem objeto";ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;ALTA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;Conferido no export de 09/09. A família PG vendeu via Geral + Melhor Oferta (PG2460, 07/09)
O5-006;O5;08/09/2026;08/09/2026;09/09/2026;Auto PXM-o425/08;campanha;PAUSAR CAMPANHA;Ativa — radar O4-010;Pausada;Contrato de saída da O4-010 acionado: Era 2 cliques, R$ 2,02, zero venda. Redundante com o Extintor manual (vendeu na Era), a PI PXM-o3 e a auto PXP-o3;ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;ALTA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;CONTRAPESO VITALÍCIO APLICADO E SUPERADO PELA REDUNDÂNCIA: esta campanha TEM venda vitalícia de R$ 610,62 (pedido de 08/07, 3 un de PXM). Não é campanha sem histórico. Corrigir também o texto da O4-010: PXM é suporte de extintor 6 kg, não porta-guarda-chuva
O5-007;O5;08/09/2026;08/09/2026;09/09/2026;Auto EGC;campanha;VIGIA — contrato prorrogado 1 Era;"Radar O4-012, lance R$ 0,84 fixo; o contrato comum mandaria pausar";Ativa, lance 0,84 mantido. GATILHO O6: zero vendas E CTR < 0,3% → pausar;O radar cumpriu a entrega: 361 → 2.391 impressões em 30d. O problema migrou de entrega para CTR (0,13%). Único termo com clique foi um ASIN substitute. Nicho de busca rara. Melhor Oferta −10% ativa 08–13/09 funciona como teste de conversão;ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;Desvio explícito do contrato comum de radar, decidido pelo LEO em 08/09. O CTR atual (0,125%) já está abaixo do gatilho — se a oferta não converter, a pausa dispara na O6
O5-008;O5;08/09/2026;08/09/2026;09/09/2026;6B Lixeiras banheiro [O4 25/08];estratégia de lances;MANTER (piloto confirmado);Dinâmicos (aumento e redução) desde a O4-014;Sem alteração;Piloto POSITIVO PRELIMINAR: pré-Era 6 cliques em 15 dias e zero venda → Era 11 cliques em 13 dias e 1 venda de R$ 265,80. CPC subiu de 1,33 para 1,60. Os controles fixos ficaram em 0–1 clique na Era;ciclos/O5-08-09.md + relatorios/amazon/o5-08-09/;ALTA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;10/09/2026;;;;22/09/2026;n = 1 venda. O custo REAL do termo lixeira banheiro 7 litros é R$ 11,71 e não R$ 5,19 — a perna L2025-B levou R$ 6,52 sem venda (ver O5-014)
