familia_variacao,linha,banda,litros,medida_cm,preco,SKU,ASIN,categoria_atual,titulo
(avulso) Pedal Quadrada,Pedal Quadrada,-,50,30x60,721.69,PQ-3060,B0H4S2WXFB,,Lixeira Quadrada em Aço Inox com Pedal 50 Litros 30x60 cm Tampa Sobreposta Prateada
(avulso) Pedal c/ Rodízio,Pedal c/ Rodízio,-,80,40x70,1290.49,P4070RA,B0H4NGLNQ4,TRASH_CAN,Lixeira de Aço Inox com Pedal 80 Litros 40 x 70 centímetros com Rodízio Alça e Tampa
Aro Polido · Comercial,Aro Polido,Comercial,25,24x50,253.58,L2450-A,B0H6XYVBKH,HOME,Lixeira Aro em Aço Inox 25 Litros 24x50 centímetros Redonda Polida para Uso Interno
Aro Polido · Comercial,Aro Polido,Comercial,27,24x60,272.57,L2460-A,B0H6QYTSNV,HOME,Lixeira Aro em Aço Inox 27 Litros 24x60 centímetros Redonda Polida para Uso Interno
Aro Polido · Comercial,Aro Polido,Comercial,30,24x70,385.56,L2470-A,B0H6QWF5NS,HOME,Lixeira Aro em Aço Inox 30 Litros 24x70 centímetros Redonda Polida para Uso Interno
Aro Polido · Comercial,Aro Polido,Comercial,30,30x40,296.92,L3040-A,B0H5MJTHK2,HOME,Lixeira Aro em Aço Inox Polido 30 Litros 30x40 centímetros Prateada para Uso Interno
Aro Polido · Comercial,Aro Polido,Comercial,35,30x50,369.74,L3050-A,B0H6R85LBZ,TRASH_CAN,"Lixeira Aro em Aço Inox 35 Litros 30x50 cm Redonda Polida para Escritórios, Restaurante Cozinha"
Aro Polido · Comercial,Aro Polido,Comercial,40,30x60,396.88,L3060-A,B0H6R5SYVL,TRASH_CAN,"Lixeira Aro em Aço Inox 40 Litros 30x60 cm Prateada para Cozinhas, Escritórios e Clínicas"
Aro Polido · Comercial,Aro Polido,Comercial,50,30x70,507.78,L3070-A,B0H4W6B587,TRASH_CAN,Lixeira Aro em Aço Inox Polido 50 Litros 30x70 centímetros Prateada para Uso Interno
Aro Polido · Industrial,Aro Polido,Industrial,62,40x50,571.15,L4050-A,B0H6R5XK94,TRASH_CAN,Lixeira Aro em Aço Inox 62 Litros 40x50 centímetros Redonda Polida para Uso Interno
Aro Polido · Industrial,Aro Polido,Industrial,75,40x60,635.32,L4060-A,B0H6R1Y63F,TRASH_CAN,Lixeira Aro em Aço Inox 75 Litros 40x60 cm Prateada para Empresa Clínica e Restaurante
Aro Polido · Industrial,Aro Polido,Industrial,100,40x80,814.08,L4080-A,B0H6QYZLYM,TRASH_CAN,Lixeira Aro em Aço Inox Polido 100 Litros 40x80 centímetros Prateada para Uso Interno
Aro Polido · Industrial,Aro Polido,Industrial,120,40x90,822.83,L4090-A,B0H6R1WBTM,TRASH_CAN,Lixeira Aro em Aço Inox 120 Litros 40x90 cm Prateada para Uso Interno Profissional
