Linha;ID;Status (col P);Resultado pós-alteração (col S);Veredito posterior (col T)
11;O4-R01;EXECUTADA - AVALIADA;Sem atividade desde 17/08. O ASIN B0H5Z1XK3V não aparece no Business Report da Era (zero sessão);MANTIDA — a inelegibilidade persiste. Reativar somente com o anúncio liberado. Pausa por inelegibilidade, não conta como falha de desempenho (Playbook §30)
12;O4-R02;EXECUTADA - AVALIADA;Superada pela O4-R03 no mesmo dia;ENCERRADA (superada)
13;O4-R03;EXECUTADA - AVALIADA;Reativada, mas zero impressão de 18/08 a 07/09 (o 30d registra 172 impressões e 1 clique, só entre 11 e 17/08). Conferido no console em 09/09: o ANÚNCIO dentro da campanha está suspenso por política;SEM EFEITO — a premissa da reativação (ASIN requalificado) era VERDADEIRA: o listing está ativo e o mesmo SKU segue anunciado pela Manual Bituqueiras (14 impressões, 20/08–04/09). O que não voltou foi o anúncio DENTRO desta campanha. Campanha pausada em O5-012
14;O4-R04;EXECUTADA - AVALIADA;Export de 08/09: ajuste de topo 0,75 vigente. Era: 1 clique e 1 venda de R$ 203,54. ACOS 30d de 1,4%. Termos em rank 1 com share 100%;POSITIVO — o conserto vigorou. O volume dos termos exatos é baixo (métrica bruta, não inferir teto de mercado). A campanha ganhou uma 2ª venda vitalícia em 08/09 (PXP ×2, R$ 302,20)
15;O4-001;EXECUTADA - AVALIADA;"Todos os termos servidos via substitutes terminam em 25/08 ou antes; na Era só houve entrega pela loose-match";EFETIVA NA SEGMENTAÇÃO — a substitutes parou de fato. Mas o CTR da campanha seguiu em ~0,06%, agora pela loose-match: o problema migrou de segmentação, não foi resolvido. Tratado em O5-010
16;O4-002;EXECUTADA - AVALIADA;Nenhum dos 18 termos negativados reaparece na Era;EFETIVA
17;O4-003;EXECUTADA - AVALIADA;"Sem atividade após 25/08. O SKU teve 13 sessões e zero unidade na Era; Relâmpago de −10% em curso";MANTIDA — retorno condicionado ao lote de correção de página
18;O4-004;EXECUTADA - AVALIADA;Era: 4 cliques, R$ 2,51, zero venda. Vitalício: 18 cliques e zero venda em 32 alvos;"NEGATIVO — o radar não gerou amostra em 8 dias úteis após o +20%. Contrato de saída acionado; campanha pausada em O5-004"
19;O4-005;EXECUTADA - AVALIADA;Era: 1 clique, R$ 0,99, zero venda. Vitalício: 8 cliques e zero venda em 83 alvos;"NEGATIVO — sem amostra. Contrato de saída acionado; campanha pausada em O5-005. A família PG vendeu por outro caminho: PG2460 pela Geral com Melhor Oferta em 07/09"
20;O4-006;EXECUTADA - AVALIADA;Não vigorou em 25/08 — a campanha foi encontrada ATIVA em 31/08 e pausada no ato;SUPERADA por EC-002. Precedente que tornou obrigatória a conferência de estado pós-execução
21;O4-007;EXECUTADA - AVALIADA;Sem atividade após 25/08;EFETIVA
22;O4-008;EXECUTADA - AVALIADA;Sem atividade após 25/08. O SKU teve 19 sessões e zero unidade na Era;MANTIDA
23;O4-009;EXECUTADA - AVALIADA;Sem atividade após 25/08;EFETIVA
24;O4-010;EXECUTADA - AVALIADA;Era: 2 cliques, R$ 2,02, zero venda;"NEGATIVO — sem amostra; contrato acionado, campanha pausada em O5-006. ⚠️ CONTRAPESO VITALÍCIO: esta campanha TEM venda vitalícia de R$ 610,62 (pedido de 08/07, 3 un). A pausa se sustenta por redundância, não por ausência de histórico. CORRIGIR O TEXTO DO MOTIVO: PXM é suporte de extintor 6 kg, não porta-guarda-chuva"
25;O4-011;EXECUTADA - AVALIADA;Gasto da Era: R$ 137,16 em 13 dias = R$ 10,55/dia, contra orçamento de R$ 90/dia (12%);CONFIRMADA — o orçamento não é a restrição. Mantido em O5-003. Regra consolidada: ACOS abaixo do Objetivo não aciona a régua de orçamento quando a campanha consome fração do próprio teto
26;O4-012;EXECUTADA - AVALIADA;Impressões de 361 para 2.391 em 30d. Era: ~2.500 impressões, 1 clique, zero venda, CTR 0,13%;PARCIAL — a entrega destravou, a conversão não. O radar cumpriu seu objetivo declarado (gerar amostra de entrega) e revelou que o gargalo é CTR. Prorrogado como vigia por 1 Era em O5-007, com gatilho na O6
27;O4-013;EXECUTADA - AVALIADA;"A 6B vendeu (R$ 265,80, 1ª venda da manual). L3070-B e Cinzeiros com zero clique na Era; Bituqueiras com 1";CONFIRMADA — ajustes derivados em O5-009 (L3070-B para dinâmico) e O5-015 (as três fixas mantidas por share 100%)
28;O4-014;EXECUTADA - AVALIADA;Pré-Era: 6 cliques em 15 dias, zero venda. Era: 11 cliques em 13 dias e 1 venda de R$ 265,80. CPC de 1,33 para 1,60. Controles fixos com 0 a 1 clique na Era;POSITIVO PRELIMINAR (n = 1 venda) — mantido em O5-008 e estendido à L3070-B. Veredito consolidado na O6. Ressalva: o custo real do termo vencedor é R$ 11,71 e não R$ 5,19, porque a perna L2025-B levou R$ 6,52 sem venda
29;O4-015;EXECUTADA - AVALIADA;O lance padrão do grupo NÃO É USADO. Evidência: o export de segmentação de 25/08 e o console de 08/09 trazem os mesmos lances por segmentação (0,45 / 0,45 / 0,54 / 0,54). Se as segmentações seguissem o padrão, leriam 0,40 antes e 0,48 depois — nunca leram nenhum dos dois;INERTE — sem efeito operacional, confirmado por evidência e não por inferência. A escala real da Geral é por segmentação, tratada em O5-001 e O5-002. Fecha a pendência dos lances por segmentação
30;EC-001;EXECUTADA - AVALIADA;Sem venda de SP-T na Era;SEM EFEITO ISOLÁVEL (esperado) — a inclusão corrigiu uma lacuna de configuração, não uma alavanca de venda
31;EC-002;EXECUTADA - AVALIADA;"Última atividade em 31/08; ausente da Era a partir daí";EFETIVA — conserto da O4-006
32;EC-003;EXECUTADA - EM MATURAÇÃO;Janela pós começa em 08/09. Até 09/09: PG2460 vendeu em 07/09 (R$ 223,88) e PXP vendeu 2 vezes em 08/09 (R$ 302,20 e R$ 151,10), todas com Melhor Oferta de −10%;NÃO AVALIÁVEL até 14/09. ACHADO JÁ CONFIRMADO: nos 3 pedidos o Ads registrou o valor COM desconto — a Melhor Oferta é atribuída ao PREÇO DA OFERTA. A atribuição a preço de tabela vale para a promoção de quantidade, que é outro mecanismo
33;EC-004;EXECUTADA - EM MATURAÇÃO;Dias de execução dentro da semana de 07 a 13/09;NÃO AVALIÁVEL até 14/09
